Código IBGE;Município;Região Administrativa;Código RA;Código DRS;DRS;Ano;Área (Em km2);Densidade Demográfica (Habitantes/km2);População;População Urbana;Grau de Urbanização (Em %);Domicílios Particulares Permanentes;Hab./Domicílio
3553856;Taquarivaí;RA de Itapeva;7;6;Sorocaba;2020;231,79;24,79;5.746;3.337;58,08;1835;3,13
3553906;Tarabai;RA de Presidente Prudente;9;2;Presidente Prudente;2020;201,39;36,09;7.269;6.834;94,02;2472;2,94
3553955;Tarumã;RA de Marília;8;5;Marília;2020;302,91;48,88;14.806;14.093;95,18;5085;2,91
3554003;Tatuí;RA de Sorocaba;13;6;Sorocaba;2020;523,75;229,35;120.123;116.699;97,15;39835;3,02
3554102;Taubaté;RA de São José dos Campos;15;17;Taubaté;2020;625;491,78;307.361;301.096;97,96;102123;3,01
3554201;Tejupá;RA de Itapeva;7;12;Bauru;2020;296,19;15,86;4.697;3.593;76,5;1504;3,12
3554300;Teodoro Sampaio;RA de Presidente Prudente;9;2;Presidente Prudente;2020;1555,8;14,41;22.414;18.533;82,68;7879;2,84
3554409;Terra Roxa;RA de Barretos;2;16;Barretos;2020;221,54;41,17;9.121;8.779;96,25;3189;2,86
3554508;Tietê;RA de Sorocaba;13;6;Sorocaba;2020;404,4;101,57;41.073;37.528;91,37;14017;2,93
3554607;Timburi;RA de Marília;8;5;Marília;2020;196,79;12,99;2.557;1.996;78,06;918;2,79
3554656;Torre de Pedra;RA de Sorocaba;13;12;Bauru;2020;71,35;32,52;2.320;1.651;71,16;864;2,69
3554706;Torrinha;RA de Campinas;4;12;Bauru;2020;315,27;30,81;9.713;8.482;87,33;3391;2,86
3554755;Trabiju;RA Central;5;8;Araraquara;2020;63,42;26,85;1.703;1.595;93,66;574;2,97
3554805;Tremembé;RA de São José dos Campos;15;17;Taubaté;2020;191,09;240,61;45.978;42.766;93,01;13233;3,47
3554904;Três Fronteiras;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;151,59;36,59;5.547;4.908;88,48;2050;2,71
3554953;Tuiuti;RA de Campinas;4;3;Campinas;2020;126,73;51,74;6.557;3.560;54,29;2245;2,92
3555000;Tupã;RA de Marília;8;5;Marília;2020;627,99;100,07;62.843;60.322;95,99;22353;2,81
3555109;Tupi Paulista;RA de Presidente Prudente;9;2;Presidente Prudente;2020;244,77;60,78;14.878;11.685;78,54;5046;2,95
3555208;Turiúba;RA de Araçatuba;1;7;Araçatuba;2020;153,24;12,48;1.912;1.618;84,62;757;2,53
3555307;Turmalina;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;147,8;12,21;1.805;1.373;76,07;697;2,59
3555356;Ubarana;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;209,86;28,9;6.066;5.608;92,45;2053;2,95
3555406;Ubatuba;RA de São José dos Campos;15;17;Taubaté;2020;708,11;125,57;88.916;86.842;97,67;31687;2,81
3555505;Ubirajara;RA de Bauru;3;5;Marília;2020;282,18;16,52;4.663;3.439;73,75;1657;2,81
3555604;Uchoa;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;252,43;38,36;9.683;9.082;93,79;3493;2,77
3555703;União Paulista;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;79,06;22;1.739;1.399;80,45;592;2,94
3555802;Urânia;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;209,26;41,15;8.611;7.504;87,14;3250;2,65
3555901;Uru;RA de Bauru;3;12;Bauru;2020;146,9;8,22;1.207;1.132;93,79;462;2,61
3556008;Urupês;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;323,92;40,64;13.164;12.090;91,84;4744;2,77
3556107;Valentim Gentil;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;149,74;85,28;12.770;11.859;92,87;4535;2,82
