Código IBGE;Município;Região Administrativa;Código RA;Código DRS;DRS;   Ano   ;Sexo;Idade;População
3530300;Mirassol;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;1.506
3530409;Mirassolândia;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;127
3530508;Mococa;RA de Campinas;4;14;São João da Boa Vista;2020;Homens;60 a 64;1.870
3530607;Mogi das Cruzes;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;60 a 64;9.582
3530706;Mogi Guaçu;RA de Campinas;4;14;São João da Boa Vista;2020;Homens;60 a 64;3.714
3530805;Mogi Mirim;RA de Campinas;4;14;São João da Boa Vista;2020;Homens;60 a 64;2.399
3530904;Mombuca;RA de Campinas;4;11;Piracicaba;2020;Homens;60 a 64;79
3531001;Monções;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;63
3531100;Mongaguá;RA de Santos;12;13;Baixada Santista;2020;Homens;60 a 64;1.189
3531209;Monte Alegre do Sul;RA de Campinas;4;3;Campinas;2020;Homens;60 a 64;240
3531308;Monte Alto;RA de Ribeirão Preto;11;1;Ribeirão Preto;2020;Homens;60 a 64;1.329
3531407;Monte Aprazível;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;600
3531506;Monte Azul Paulista;RA de Barretos;2;16;Barretos;2020;Homens;60 a 64;497
3531605;Monte Castelo;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;60 a 64;136
3531704;Monteiro Lobato;RA de São José dos Campos;15;17;Taubaté;2020;Homens;60 a 64;135
3531803;Monte Mor;RA de Campinas;4;3;Campinas;2020;Homens;60 a 64;1.122
3531902;Morro Agudo;RA de Franca;6;4;Franca;2020;Homens;60 a 64;625
3532009;Morungaba;RA de Campinas;4;3;Campinas;2020;Homens;60 a 64;287
3532058;Motuca;RA Central;5;8;Araraquara;2020;Homens;60 a 64;119
3532108;Murutinga do Sul;RA de Araçatuba;1;7;Araçatuba;2020;Homens;60 a 64;122
3532157;Nantes;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;60 a 64;54
3532207;Narandiba;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;60 a 64;101
3532306;Natividade da Serra;RA de São José dos Campos;15;17;Taubaté;2020;Homens;60 a 64;192
3532405;Nazaré Paulista;RA de Campinas;4;3;Campinas;2020;Homens;60 a 64;440
3532504;Neves Paulista;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;266
3532603;Nhandeara;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;345
3532702;Nipoã;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;96
3532801;Nova Aliança;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;160
3532827;Nova Campina;RA de Itapeva;7;6;Sorocaba;2020;Homens;60 a 64;167
3532843;Nova Canaã Paulista;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;72
3532868;Nova Castilho;RA de Araçatuba;1;7;Araçatuba;2020;Homens;60 a 64;37
3532900;Nova Europa;RA Central;5;8;Araraquara;2020;Homens;60 a 64;232
3533007;Nova Granada;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;501
3533106;Nova Guataporanga;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;60 a 64;74
3533205;Nova Independência;RA de Araçatuba;1;7;Araçatuba;2020;Homens;60 a 64;84
3533254;Novais;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;94
3533304;Nova Luzitânia;RA de Araçatuba;1;7;Araçatuba;2020;Homens;60 a 64;98
3533403;Nova Odessa;RA de Campinas;4;3;Campinas;2020;Homens;60 a 64;1.455
3533502;Novo Horizonte;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;1.049
3533601;Nuporanga;RA de Franca;6;4;Franca;2020;Homens;60 a 64;200
3533700;Ocauçu;RA de Marília;8;5;Marília;2020;Homens;60 a 64;114
3533809;Óleo;RA de Marília;8;5;Marília;2020;Homens;60 a 64;84
3533908;Olímpia;RA de Barretos;2;16;Barretos;2020;Homens;60 a 64;1.327
3534005;Onda Verde;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;110
3534104;Oriente;RA de Marília;8;5;Marília;2020;Homens;60 a 64;189
3534203;Orindiúva;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;138
3534302;Orlândia;RA de Franca;6;4;Franca;2020;Homens;60 a 64;1.107
3534401;Osasco;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;60 a 64;14.507
3534500;Oscar Bressane;RA de Marília;8;5;Marília;2020;Homens;60 a 64;58
3534609;Osvaldo Cruz;RA de Presidente Prudente;9;5;Marília;2020;Homens;60 a 64;905
3534708;Ourinhos;RA de Marília;8;5;Marília;2020;Homens;60 a 64;2.569
3534757;Ouroeste;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;208
3534807;Ouro Verde;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;60 a 64;186
3534906;Pacaembu;RA de Presidente Prudente;9;5;Marília;2020;Homens;60 a 64;344
3535002;Palestina;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;329
3535101;Palmares Paulista;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;227
3535200;Palmeira d'Oeste;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;301
3535309;Palmital;RA de Marília;8;5;Marília;2020;Homens;60 a 64;563
3535408;Panorama;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;60 a 64;332
3535507;Paraguaçu Paulista;RA de Marília;8;5;Marília;2020;Homens;60 a 64;996
3535606;Paraibuna;RA de São José dos Campos;15;17;Taubaté;2020;Homens;60 a 64;438
