Código IBGE;Município;Região Administrativa;Código RA;Código DRS;DRS;População Total 2020;Classes de tamanho;Sequência das Classes
3505609;Barrinha;RA de Ribeirão Preto;11;1;Ribeirão Preto; 32.338 ;De 10.001 a 50.000;2
3505708;Barueri;RM de São Paulo;10;10;Grande São Paulo; 264.390 ;De 100.001 a 500.000;4
3505807;Bastos;RA de Marília;8;5;Marília; 20.301 ;De 10.001 a 50.000;2
3505906;Batatais;RA de Franca;6;1;Ribeirão Preto; 60.222 ;De 50.001 a 100.000;3
3506003;Bauru;RA de Bauru;3;12;Bauru; 364.225 ;De 100.001 a 500.000;4
3506102;Bebedouro;RA de Barretos;2;16;Barretos; 74.155 ;De 50.001 a 100.000;3
3506201;Bento de Abreu;RA de Araçatuba;1;7;Araçatuba; 2.945 ;Até 10.000;1
3506300;Bernardino de Campos;RA de Marília;8;5;Marília; 10.787 ;De 10.001 a 50.000;2
3506359;Bertioga;RA de Santos;12;13;Baixada Santista; 63.290 ;De 50.001 a 100.000;3
3506409;Bilac;RA de Araçatuba;1;7;Araçatuba; 7.816 ;Até 10.000;1
3506508;Birigui;RA de Araçatuba;1;7;Araçatuba; 121.329 ;De 100.001 a 500.000;4
3506607;Biritiba Mirim;RM de São Paulo;10;10;Grande São Paulo; 32.338 ;De 10.001 a 50.000;2
3506706;Boa Esperança do Sul;RA Central;5;8;Araraquara; 14.582 ;De 10.001 a 50.000;2
3506805;Bocaina;RA de Bauru;3;12;Bauru; 12.135 ;De 10.001 a 50.000;2
3506904;Bofete;RA de Sorocaba;13;12;Bauru; 11.076 ;De 10.001 a 50.000;2
3507001;Boituva;RA de Sorocaba;13;6;Sorocaba; 57.292 ;De 50.001 a 100.000;3
3507100;Bom Jesus dos Perdões;RA de Campinas;4;3;Campinas; 24.291 ;De 10.001 a 50.000;2
3507159;Bom Sucesso de Itararé;RA de Itapeva;7;6;Sorocaba; 3.861 ;Até 10.000;1
3507209;Borá;RA de Marília;8;5;Marília; 812 ;Até 10.000;1
3507308;Boracéia;RA de Bauru;3;12;Bauru; 4.759 ;Até 10.000;1
3507407;Borborema;RA Central;5;8;Araraquara; 15.323 ;De 10.001 a 50.000;2
3507456;Borebi;RA de Bauru;3;12;Bauru; 2.579 ;Até 10.000;1
3507506;Botucatu;RA de Sorocaba;13;12;Bauru; 141.135 ;De 100.001 a 500.000;4
3507605;Bragança Paulista;RA de Campinas;4;3;Campinas; 163.980 ;De 100.001 a 500.000;4
3507704;Braúna;RA de Araçatuba;1;7;Araçatuba; 5.552 ;Até 10.000;1
3507753;Brejo Alegre;RA de Araçatuba;1;7;Araçatuba; 2.768 ;Até 10.000;1
3507803;Brodowski;RA de Ribeirão Preto;11;1;Ribeirão Preto; 23.943 ;De 10.001 a 50.000;2
3507902;Brotas;RA de Campinas;4;12;Bauru; 23.850 ;De 10.001 a 50.000;2
3508009;Buri;RA de Itapeva;7;6;Sorocaba; 19.678 ;De 10.001 a 50.000;2
3508108;Buritama;RA de Araçatuba;1;7;Araçatuba; 16.596 ;De 10.001 a 50.000;2
3508207;Buritizal;RA de Franca;6;4;Franca; 4.307 ;Até 10.000;1
3508306;Cabrália Paulista;RA de Bauru;3;12;Bauru; 4.308 ;Até 10.000;1
3508405;Cabreúva;RA de Campinas;4;3;Campinas; 49.430 ;De 10.001 a 50.000;2
3508504;Caçapava;RA de São José dos Campos;15;17;Taubaté; 91.217 ;De 50.001 a 100.000;3
3508603;Cachoeira Paulista;RA de São José dos Campos;15;17;Taubaté; 32.231 ;De 10.001 a 50.000;2
3508702;Caconde;RA de Campinas;4;14;São João da Boa Vista; 18.854 ;De 10.001 a 50.000;2
3508801;Cafelândia;RA de Bauru;3;12;Bauru; 17.244 ;De 10.001 a 50.000;2
3508900;Caiabu;RA de Presidente Prudente;9;2;Presidente Prudente; 4.103 ;Até 10.000;1
3509007;Caieiras;RM de São Paulo;10;10;Grande São Paulo; 100.612 ;De 100.001 a 500.000;4
3509106;Caiuá;RA de Presidente Prudente;9;2;Presidente Prudente; 5.600 ;Até 10.000;1
3509205;Cajamar;RM de São Paulo;10;10;Grande São Paulo; 77.627 ;De 50.001 a 100.000;3
3509254;Cajati;RA de Registro;16;9;Registro; 28.992 ;De 10.001 a 50.000;2
3509304;Cajobi;RA de Barretos;2;16;Barretos; 10.105 ;De 10.001 a 50.000;2
3509403;Cajuru;RA de Ribeirão Preto;11;1;Ribeirão Preto; 25.663 ;De 10.001 a 50.000;2
3509452;Campina do Monte Alegre;RA de Itapeva;7;6;Sorocaba; 5.812 ;Até 10.000;1
3509502;Campinas;RA de Campinas;4;3;Campinas; 1.175.501 ;Mais de 500.000;5
3509601;Campo Limpo Paulista;RA de Campinas;4;3;Campinas; 82.842 ;De 50.001 a 100.000;3
3509700;Campos do Jordão;RA de São José dos Campos;15;17;Taubaté; 50.118 ;De 50.001 a 100.000;3
3509809;Campos Novos Paulista;RA de Marília;8;5;Marília; 4.817 ;Até 10.000;1
3509908;Cananéia;RA de Registro;16;9;Registro; 12.341 ;De 10.001 a 50.000;2
3509957;Canas;RA de São José dos Campos;15;17;Taubaté; 5.064 ;Até 10.000;1
3510005;Cândido Mota;RA de Marília;8;5;Marília; 30.019 ;De 10.001 a 50.000;2
3510104;Cândido Rodrigues;RA Central;5;8;Araraquara; 2.674 ;Até 10.000;1
3510153;Canitar;RA de Marília;8;5;Marília; 4.991 ;Até 10.000;1
3510203;Capão Bonito;RA de Itapeva;7;6;Sorocaba; 46.418 ;De 10.001 a 50.000;2
3510302;Capela do Alto;RA de Sorocaba;13;6;Sorocaba; 20.542 ;De 10.001 a 50.000;2
3510401;Capivari;RA de Campinas;4;11;Piracicaba; 54.231 ;De 50.001 a 100.000;3
3510500;Caraguatatuba;RA de São José dos Campos;15;17;Taubaté; 116.106 ;De 100.001 a 500.000;4
3510609;Carapicuíba;RM de São Paulo;10;10;Grande São Paulo; 394.598 ;De 100.001 a 500.000;4
3510708;Cardoso;RA de São José do Rio Preto;14;15;São José do Rio Preto; 11.721 ;De 10.001 a 50.000;2
3510807;Casa Branca;RA de Campinas;4;14;São João da Boa Vista; 29.462 ;De 10.001 a 50.000;2
3510906;Cássia dos Coqueiros;RA de Ribeirão Preto;11;1;Ribeirão Preto; 2.495 ;Até 10.000;1
3511003;Castilho;RA de Araçatuba;1;7;Araçatuba; 20.728 ;De 10.001 a 50.000;2
3511102;Catanduva;RA de São José do Rio Preto;14;15;São José do Rio Preto; 117.206 ;De 100.001 a 500.000;4
3511201;Catiguá;RA de São José do Rio Preto;14;15;São José do Rio Preto; 7.529 ;Até 10.000;1
3511300;Cedral;RA de São José do Rio Preto;14;15;São José do Rio Preto; 8.836 ;Até 10.000;1
3511409;Cerqueira César;RA de Sorocaba;13;12;Bauru; 19.213 ;De 10.001 a 50.000;2
3511508;Cerquilho;RA de Sorocaba;13;6;Sorocaba; 46.411 ;De 10.001 a 50.000;2
3511607;Cesário Lange;RA de Sorocaba;13;6;Sorocaba; 17.248 ;De 10.001 a 50.000;2
3511706;Charqueada;RA de Campinas;4;11;Piracicaba; 16.933 ;De 10.001 a 50.000;2
3511904;Clementina;RA de Araçatuba;1;7;Araçatuba; 8.324 ;Até 10.000;1
3512001;Colina;RA de Barretos;2;16;Barretos; 17.603 ;De 10.001 a 50.000;2
3512100;Colômbia;RA de Barretos;2;16;Barretos; 6.046 ;Até 10.000;1
3512209;Conchal;RA de Campinas;4;11;Piracicaba; 27.284 ;De 10.001 a 50.000;2
3512308;Conchas;RA de Sorocaba;13;12;Bauru; 17.134 ;De 10.001 a 50.000;2
3512407;Cordeirópolis;RA de Campinas;4;11;Piracicaba; 24.356 ;De 10.001 a 50.000;2
3512506;Coroados;RA de Araçatuba;1;7;Araçatuba; 5.926 ;Até 10.000;1
3512605;Coronel Macedo;RA de Itapeva;7;12;Bauru; 4.843 ;Até 10.000;1
3512704;Corumbataí;RA de Campinas;4;11;Piracicaba; 3.962 ;Até 10.000;1
3512803;Cosmópolis;RA de Campinas;4;3;Campinas; 71.282 ;De 50.001 a 100.000;3
3512902;Cosmorama;RA de São José do Rio Preto;14;15;São José do Rio Preto; 6.997 ;Até 10.000;1
3513009;Cotia;RM de São Paulo;10;10;Grande São Paulo; 247.424 ;De 100.001 a 500.000;4
3513108;Cravinhos;RA de Ribeirão Preto;11;1;Ribeirão Preto; 34.428 ;De 10.001 a 50.000;2
3513207;Cristais Paulista;RA de Franca;6;4;Franca; 8.425 ;Até 10.000;1
3513306;Cruzália;RA de Marília;8;5;Marília; 2.117 ;Até 10.000;1
3513405;Cruzeiro;RA de São José dos Campos;15;17;Taubaté; 79.927 ;De 50.001 a 100.000;3
3513504;Cubatão;RA de Santos;12;13;Baixada Santista; 129.145 ;De 100.001 a 500.000;4
3513603;Cunha;RA de São José dos Campos;15;17;Taubaté; 21.681 ;De 10.001 a 50.000;2
3513702;Descalvado;RA Central;5;8;Araraquara; 32.430 ;De 10.001 a 50.000;2
3513801;Diadema;RM de São Paulo;10;10;Grande São Paulo; 404.477 ;De 100.001 a 500.000;4
3513850;Dirce Reis;RA de São José do Rio Preto;14;15;São José do Rio Preto; 1.717 ;Até 10.000;1
3513900;Divinolândia;RA de Campinas;4;14;São João da Boa Vista; 10.886 ;De 10.001 a 50.000;2
3514007;Dobrada;RA Central;5;8;Araraquara; 8.904 ;Até 10.000;1
3514106;Dois Córregos;RA de Bauru;3;12;Bauru; 26.972 ;De 10.001 a 50.000;2
3514205;Dolcinópolis;RA de São José do Rio Preto;14;15;São José do Rio Preto; 2.040 ;Até 10.000;1
3514304;Dourado;RA Central;5;8;Araraquara; 8.482 ;Até 10.000;1
3514403;Dracena;RA de Presidente Prudente;9;2;Presidente Prudente; 44.995 ;De 10.001 a 50.000;2
3514502;Duartina;RA de Bauru;3;12;Bauru; 11.975 ;De 10.001 a 50.000;2
3514601;Dumont;RA de Ribeirão Preto;11;1;Ribeirão Preto; 9.570 ;Até 10.000;1
3514700;Echaporã;RA de Marília;8;5;Marília; 6.217 ;Até 10.000;1
3514809;Eldorado;RA de Registro;16;9;Registro; 15.236 ;De 10.001 a 50.000;2
3514908;Elias Fausto;RA de Campinas;4;11;Piracicaba; 17.346 ;De 10.001 a 50.000;2
3514924;Elisiário;RA de São José do Rio Preto;14;15;São José do Rio Preto; 3.499 ;Até 10.000;1
3514957;Embaúba;RA de Barretos;2;15;São José do Rio Preto; 2.409 ;Até 10.000;1
3515004;Embu das Artes;RM de São Paulo;10;10;Grande São Paulo; 270.790 ;De 100.001 a 500.000;4
3515103;Embu-Guaçu;RM de São Paulo;10;10;Grande São Paulo; 68.053 ;De 50.001 a 100.000;3
3515129;Emilianópolis;RA de Presidente Prudente;9;2;Presidente Prudente; 3.068 ;Até 10.000;1
3515152;Engenheiro Coelho;RA de Campinas;4;11;Piracicaba; 20.535 ;De 10.001 a 50.000;2
3515186;Espírito Santo do Pinhal;RA de Campinas;4;14;São João da Boa Vista; 42.573 ;De 10.001 a 50.000;2
3515194;Espírito Santo do Turvo;RA de Marília;8;5;Marília; 4.799 ;Até 10.000;1
3515202;Estrela d'Oeste;RA de São José do Rio Preto;14;15;São José do Rio Preto; 8.094 ;Até 10.000;1
3515301;Estrela do Norte;RA de Presidente Prudente;9;2;Presidente Prudente; 2.665 ;Até 10.000;1
3515350;Euclides da Cunha Paulista;RA de Presidente Prudente;9;2;Presidente Prudente; 9.537 ;Até 10.000;1
3515400;Fartura;RA de Itapeva;7;12;Bauru; 15.644 ;De 10.001 a 50.000;2
3515509;Fernandópolis;RA de São José do Rio Preto;14;15;São José do Rio Preto; 66.112 ;De 50.001 a 100.000;3
3515608;Fernando Prestes;RA Central;5;15;São José do Rio Preto; 5.572 ;Até 10.000;1
3515657;Fernão;RA de Marília;8;5;Marília; 1.649 ;Até 10.000;1
3515707;Ferraz de Vasconcelos;RM de São Paulo;10;10;Grande São Paulo; 193.037 ;De 100.001 a 500.000;4
3515806;Flora Rica;RA de Presidente Prudente;9;2;Presidente Prudente; 1.589 ;Até 10.000;1
3515905;Floreal;RA de São José do Rio Preto;14;15;São José do Rio Preto; 2.856 ;Até 10.000;1
3516002;Flórida Paulista;RA de Presidente Prudente;9;5;Marília; 12.120 ;De 10.001 a 50.000;2
3516101;Florínea;RA de Marília;8;5;Marília; 2.703 ;Até 10.000;1
3516200;Franca;RA de Franca;6;4;Franca; 342.125 ;De 100.001 a 500.000;4
3516309;Francisco Morato;RM de São Paulo;10;10;Grande São Paulo; 174.403 ;De 100.001 a 500.000;4
3516408;Franco da Rocha;RM de São Paulo;10;10;Grande São Paulo; 152.201 ;De 100.001 a 500.000;4
3516507;Gabriel Monteiro;RA de Araçatuba;1;7;Araçatuba; 2.684 ;Até 10.000;1
3516606;Gália;RA de Marília;8;5;Marília; 6.563 ;Até 10.000;1
3516705;Garça;RA de Marília;8;5;Marília; 42.483 ;De 10.001 a 50.000;2
3516804;Gastão Vidigal;RA de Araçatuba;1;15;São José do Rio Preto; 4.768 ;Até 10.000;1
3516853;Gavião Peixoto;RA Central;5;8;Araraquara; 4.610 ;Até 10.000;1
3516903;General Salgado;RA de Araçatuba;1;15;São José do Rio Preto; 10.648 ;De 10.001 a 50.000;2
3517000;Getulina;RA de Bauru;3;12;Bauru; 10.847 ;De 10.001 a 50.000;2
3517109;Glicério;RA de Araçatuba;1;7;Araçatuba; 4.749 ;Até 10.000;1
3517208;Guaiçara;RA de Bauru;3;12;Bauru; 11.947 ;De 10.001 a 50.000;2
3517307;Guaimbê;RA de Bauru;3;5;Marília; 5.534 ;Até 10.000;1
3517406;Guaíra;RA de Barretos;2;16;Barretos; 39.061 ;De 10.001 a 50.000;2
3517505;Guapiaçu;RA de São José do Rio Preto;14;15;São José do Rio Preto; 20.848 ;De 10.001 a 50.000;2
3517604;Guapiara;RA de Itapeva;7;6;Sorocaba; 17.775 ;De 10.001 a 50.000;2
3517703;Guará;RA de Franca;6;4;Franca; 20.824 ;De 10.001 a 50.000;2
3517802;Guaraçaí;RA de Araçatuba;1;7;Araçatuba; 8.412 ;Até 10.000;1
3517901;Guaraci;RA de Barretos;2;16;Barretos; 10.978 ;De 10.001 a 50.000;2
3518008;Guarani d'Oeste;RA de São José do Rio Preto;14;15;São José do Rio Preto; 1.922 ;Até 10.000;1
3518107;Guarantã;RA de Bauru;3;5;Marília; 6.477 ;Até 10.000;1
3518206;Guararapes;RA de Araçatuba;1;7;Araçatuba; 32.076 ;De 10.001 a 50.000;2
3518305;Guararema;RM de São Paulo;10;10;Grande São Paulo; 29.429 ;De 10.001 a 50.000;2
3518404;Guaratinguetá;RA de São José dos Campos;15;17;Taubaté; 118.345 ;De 100.001 a 500.000;4
3518503;Guareí;RA de Sorocaba;13;6;Sorocaba; 15.750 ;De 10.001 a 50.000;2
3518602;Guariba;RA de Ribeirão Preto;11;1;Ribeirão Preto; 39.021 ;De 10.001 a 50.000;2
3518701;Guarujá;RA de Santos;12;13;Baixada Santista; 316.405 ;De 100.001 a 500.000;4
3518800;Guarulhos;RM de São Paulo;10;10;Grande São Paulo; 1.351.275 ;Mais de 500.000;5
3518859;Guatapará;RA de Ribeirão Preto;11;1;Ribeirão Preto; 7.440 ;Até 10.000;1
3518909;Guzolândia;RA de Araçatuba;1;7;Araçatuba; 5.107 ;Até 10.000;1
3519006;Herculândia;RA de Marília;8;5;Marília; 9.260 ;Até 10.000;1
3519055;Holambra;RA de Campinas;4;3;Campinas; 14.493 ;De 10.001 a 50.000;2
3519071;Hortolândia;RA de Campinas;4;3;Campinas; 230.268 ;De 100.001 a 500.000;4
3519105;Iacanga;RA de Bauru;3;12;Bauru; 11.306 ;De 10.001 a 50.000;2
3519204;Iacri;RA de Marília;8;5;Marília; 6.272 ;Até 10.000;1
3519253;Iaras;RA de Sorocaba;13;12;Bauru; 6.894 ;Até 10.000;1
3519303;Ibaté;RA Central;5;8;Araraquara; 34.738 ;De 10.001 a 50.000;2
3519402;Ibirá;RA de São José do Rio Preto;14;15;São José do Rio Preto; 12.059 ;De 10.001 a 50.000;2
3519501;Ibirarema;RA de Marília;8;5;Marília; 7.509 ;Até 10.000;1
3519600;Ibitinga;RA Central;5;8;Araraquara; 58.501 ;De 50.001 a 100.000;3
3519709;Ibiúna;RA de Sorocaba;13;6;Sorocaba; 76.430 ;De 50.001 a 100.000;3
3519808;Icém;RA de São José do Rio Preto;14;15;São José do Rio Preto; 8.032 ;Até 10.000;1
3519907;Iepê;RA de Presidente Prudente;9;2;Presidente Prudente; 7.921 ;Até 10.000;1
3520004;Igaraçu do Tietê;RA de Bauru;3;12;Bauru; 24.135 ;De 10.001 a 50.000;2
3520103;Igarapava;RA de Franca;6;4;Franca; 29.456 ;De 10.001 a 50.000;2
3520202;Igaratá;RA de São José dos Campos;15;17;Taubaté; 9.312 ;Até 10.000;1
3520301;Iguape;RA de Registro;16;9;Registro; 29.465 ;De 10.001 a 50.000;2
3520400;Ilhabela;RA de São José dos Campos;15;17;Taubaté; 33.470 ;De 10.001 a 50.000;2
3520426;Ilha Comprida;RA de Registro;16;9;Registro; 10.296 ;De 10.001 a 50.000;2
3520442;Ilha Solteira;RA de Araçatuba;1;7;Araçatuba; 25.748 ;De 10.001 a 50.000;2
3520509;Indaiatuba;RA de Campinas;4;3;Campinas; 242.868 ;De 100.001 a 500.000;4
3520608;Indiana;RA de Presidente Prudente;9;2;Presidente Prudente; 4.775 ;Até 10.000;1
3520707;Indiaporã;RA de São José do Rio Preto;14;15;São José do Rio Preto; 3.854 ;Até 10.000;1
3520806;Inúbia Paulista;RA de Presidente Prudente;9;5;Marília; 3.892 ;Até 10.000;1
3520905;Ipaussu;RA de Marília;8;5;Marília; 14.506 ;De 10.001 a 50.000;2
3521002;Iperó;RA de Sorocaba;13;6;Sorocaba; 34.352 ;De 10.001 a 50.000;2
3521101;Ipeúna;RA de Campinas;4;11;Piracicaba; 7.571 ;Até 10.000;1
3521150;Ipiguá;RA de São José do Rio Preto;14;15;São José do Rio Preto; 5.231 ;Até 10.000;1
3521200;Iporanga;RA de Itapeva;7;9;Registro; 4.407 ;Até 10.000;1
3521309;Ipuã;RA de Franca;6;4;Franca; 15.861 ;De 10.001 a 50.000;2
3521408;Iracemápolis;RA de Campinas;4;11;Piracicaba; 23.654 ;De 10.001 a 50.000;2
3521507;Irapuã;RA de São José do Rio Preto;14;15;São José do Rio Preto; 7.734 ;Até 10.000;1
3521606;Irapuru;RA de Presidente Prudente;9;2;Presidente Prudente; 7.334 ;Até 10.000;1
3521705;Itaberá;RA de Itapeva;7;6;Sorocaba; 17.614 ;De 10.001 a 50.000;2
3521804;Itaí;RA de Itapeva;7;12;Bauru; 26.507 ;De 10.001 a 50.000;2
3521903;Itajobi;RA de São José do Rio Preto;14;15;São José do Rio Preto; 14.614 ;De 10.001 a 50.000;2
3522000;Itaju;RA de Bauru;3;12;Bauru; 3.654 ;Até 10.000;1
3522109;Itanhaém;RA de Santos;12;13;Baixada Santista; 98.757 ;De 50.001 a 100.000;3
3522158;Itaoca;RA de Itapeva;7;6;Sorocaba; 3.186 ;Até 10.000;1
3522208;Itapecerica da Serra;RM de São Paulo;10;10;Grande São Paulo; 169.619 ;De 100.001 a 500.000;4
3522307;Itapetininga;RA de Sorocaba;13;6;Sorocaba; 160.150 ;De 100.001 a 500.000;4
3522406;Itapeva;RA de Itapeva;7;6;Sorocaba; 91.693 ;De 50.001 a 100.000;3
3522505;Itapevi;RM de São Paulo;10;10;Grande São Paulo; 237.714 ;De 100.001 a 500.000;4
3522604;Itapira;RA de Campinas;4;14;São João da Boa Vista; 71.500 ;De 50.001 a 100.000;3
3522653;Itapirapuã Paulista;RA de Itapeva;7;6;Sorocaba; 4.180 ;Até 10.000;1
3522703;Itápolis;RA Central;5;8;Araraquara; 41.548 ;De 10.001 a 50.000;2
3522802;Itaporanga;RA de Itapeva;7;12;Bauru; 14.688 ;De 10.001 a 50.000;2
3522901;Itapuí;RA de Bauru;3;12;Bauru; 13.779 ;De 10.001 a 50.000;2
3523008;Itapura;RA de Araçatuba;1;7;Araçatuba; 4.916 ;Até 10.000;1
3523107;Itaquaquecetuba;RM de São Paulo;10;10;Grande São Paulo; 370.589 ;De 100.001 a 500.000;4
3523206;Itararé;RA de Itapeva;7;6;Sorocaba; 49.018 ;De 10.001 a 50.000;2
3523305;Itariri;RA de Registro;16;9;Registro; 17.274 ;De 10.001 a 50.000;2
3523404;Itatiba;RA de Campinas;4;3;Campinas; 117.916 ;De 100.001 a 500.000;4
3523503;Itatinga;RA de Sorocaba;13;12;Bauru; 20.550 ;De 10.001 a 50.000;2
3523602;Itirapina;RA de Campinas;4;11;Piracicaba; 17.162 ;De 10.001 a 50.000;2
3523701;Itirapuã;RA de Franca;6;4;Franca; 6.279 ;Até 10.000;1
3523800;Itobi;RA de Campinas;4;14;São João da Boa Vista; 7.609 ;Até 10.000;1
3523909;Itu;RA de Sorocaba;13;6;Sorocaba; 169.772 ;De 100.001 a 500.000;4
3524006;Itupeva;RA de Campinas;4;3;Campinas; 59.159 ;De 50.001 a 100.000;3
3524105;Ituverava;RA de Franca;6;4;Franca; 40.246 ;De 10.001 a 50.000;2
3524204;Jaborandi;RA de Barretos;2;16;Barretos; 6.677 ;Até 10.000;1
3524303;Jaboticabal;RA de Ribeirão Preto;11;1;Ribeirão Preto; 74.221 ;De 50.001 a 100.000;3
3524402;Jacareí;RA de São José dos Campos;15;17;Taubaté; 227.945 ;De 100.001 a 500.000;4
