nome_munic;codigo_ibge;datahora;casos;obitos
Ituverava;3524105;2020-05-01;    1;   0
Jaborandi;3524204;2020-05-01;    2;   0
Jaboticabal;3524303;2020-05-01;   17;   4
Jacareí;3524402;2020-05-01;   33;   1
Jaci;3524501;2020-05-01;   12;   0
Jacupiranga;3524600;2020-05-01;    1;   0
Jaguariúna;3524709;2020-05-01;   15;   0
Jales;3524808;2020-05-01;    4;   0
Jandira;3525003;2020-05-01;   47;   5
Jardinópolis;3525102;2020-05-01;    6;   1
Jarinu;3525201;2020-05-01;    1;   1
Jaú;3525300;2020-05-01;   24;   0
Joanópolis;3525508;2020-05-01;    2;   0
José Bonifácio;3525706;2020-05-01;    3;   0
Jundiaí;3525904;2020-05-01;  152;  15
Junqueirópolis;3526001;2020-05-01;    2;   0
Juquiá;3526100;2020-05-01;    1;   0
Juquitiba;3526209;2020-05-01;    5;   1
Laranjal Paulista;3526407;2020-05-01;    5;   2
Lavrinhas;3526605;2020-05-01;    2;   1
Leme;3526704;2020-05-01;    7;   3
Lençóis Paulista;3526803;2020-05-01;    5;   1
Limeira;3526902;2020-05-01;   35;   1
Lindóia;3527009;2020-05-01;    3;   0
Lins;3527108;2020-05-01;   20;   3
Lorena;3527207;2020-05-01;    6;   0
Louveira;3527306;2020-05-01;   10;   1
Lucélia;3527405;2020-05-01;    7;   2
Macatuba;3528007;2020-05-01;    2;   0
Mairinque;3528403;2020-05-01;    7;   0
Mairiporã;3528502;2020-05-01;   32;   4
Marília;3529005;2020-05-01;   14;   1
Martinópolis;3529203;2020-05-01;    3;   0
Matão;3529302;2020-05-01;    5;   0
Mauá;3529401;2020-05-01;  241;  22
Miguelópolis;3529708;2020-05-01;    1;   0
Mineiros do Tietê;3529807;2020-05-01;    5;   1
Miracatu;3529906;2020-05-01;    5;   2
Mirandópolis;3530102;2020-05-01;    6;   2
Mirassol;3530300;2020-05-01;    6;   0
Mococa;3530508;2020-05-01;    5;   1
Mogi das Cruzes;3530607;2020-05-01;  271;  21
Mogi Guaçu;3530706;2020-05-01;   25;   1
Mogi Mirim;3530805;2020-05-01;    4;   0
Mongaguá;3531100;2020-05-01;   11;   1
Monte Alto;3531308;2020-05-01;   14;   1
Monte Azul Paulista;3531506;2020-05-01;    1;   0
Monte Mor;3531803;2020-05-01;    6;   2
Morro Agudo;3531902;2020-05-01;    2;   0
Morungaba;3532009;2020-05-01;    7;   0
Nazaré Paulista;3532405;2020-05-01;    5;   1
Nhandeara;3532603;2020-05-01;    1;   0
Nova Guataporanga;3533106;2020-05-01;    1;   0
Nova Odessa;3533403;2020-05-01;    7;   1
Novo Horizonte;3533502;2020-05-01;    3;   0
Olímpia;3533908;2020-05-01;    5;   0
Orlândia;3534302;2020-05-01;    4;   0
Osasco;3534401;2020-05-01;  828;  85
Ourinhos;3534708;2020-05-01;   19;   3
Palmital;3535309;2020-05-01;    1;   0
Paraibuna;3535606;2020-05-01;    1;   0
Paranapanema;3535804;2020-05-01;    2;   0
Pariquera-Açu;3536208;2020-05-01;   29;   1
