Ano,Trimestre,Data do Anuncio,Empresa alvo do investimento,Empresa(s) investidora(s),Real (em milhoes),Dolar (em milhoes),Valor Informado,Municipio,Regiao,Descricao do investimento,CNAE Empresa alvo do investimento,CNAE Empresa(s) investidora(s),Tipo Investimento,Periodo
2016,4,13/12/2016,ViaRondon,ViaRondon Concessionaria de Rodovia,9,2.68,Sim,Coroados,RA Aracatuba,"Construcao pontilhao o km 507,5 da rodovia Marechal Rondon (SP-300)","5221-4 - Concessionarias de rodovias, pontes, tuneis e servicos relacionados","5221-4 - Concessionarias de rodovias, pontes, tuneis e servicos relacionados",Ampliacao,2016 - 2017
2016,4,23/12/2016,Companhia Paulista de Forca e Luz - CPFL,Companhia Paulista de Forca e Luz,14,4.18,Sim,Barretos,RA Barretos,Ampliacao subestacao  linhas de transmissao de energia eletrica e modernizacao do sistema eletrico,3512-3 - Transmissao de energia eletrica,3514-0 - Distribuicao de energia eletrica,Ampliacao,2016 - 2016
2016,4,08/12/2016,Drogal,Drogal Farmaceutica,NA,NA,Nao,Agudos,RA Bauru,Abertura drogaria  com venda de medicamentos e perfumaria,4771-7 - Comercio varejista de produtos farmaceuticos para uso humano e veterinario,4771-7 - Comercio varejista de produtos farmaceuticos para uso humano e veterinario,Implantacao,2016 - 2016
2016,4,20/12/2016,Moveis Casa Verde,Mercantil de Moveis Casa Verde,NA,NA,Nao,Bauru,RA Bauru,Inauguracao loja de moveis planejados tipo outlet,"4754-7 - Comercio varejista especializado de moveis, colchoaria e artigos de iluminacao","4754-7 - Comercio varejista especializado de moveis, colchoaria e artigos de iluminacao",Implantacao,2016 - 2016
2016,4,25/11/2016,"Quem disse, Berenice?","Quem disse, Berenice?",NA,NA,Nao,Bauru,RA Bauru,Abertura franquia de cosmeticos e perfumaria no Bauru Shopping,"4772-5 - Comercio varejista de cosmeticos, produtos de perfumaria e de higiene pessoal","4772-5 - Comercio varejista de cosmeticos, produtos de perfumaria e de higiene pessoal",Implantacao,2016 - 2016
2016,4,20/10/2016,Casa Burgo Bus,Casa Burgo,NA,NA,Nao,Bauru,RA Bauru,Instalacao loja de calcados em onibus,4782-2 - Comercio varejista de calcados e artigos de viagem,4782-2 - Comercio varejista de calcados e artigos de viagem,Implantacao,2016 - 2016
2016,4,25/11/2016,Carmen Steffens,Bauru Comercio de Calcados,NA,NA,Nao,Bauru,RA Bauru,Abertura franquia de calcados femininos no Bauru Shopping,4782-2 - Comercio varejista de calcados e artigos de viagem,4782-2 - Comercio varejista de calcados e artigos de viagem,Implantacao,2016 - 2016
2016,4,25/11/2016,Pizza Hut,Pizza Hut,NA,NA,Nao,Bauru,RA Bauru,Abertura pizzaria propria no Bauru Shopping,5611-2 - Restaurantes e outros estabelecimentos de servicos de alimentacao e bebidas,5611-2 - Restaurantes e outros estabelecimentos de servicos de alimentacao e bebidas,Implantacao,2016 - 2016
2016,4,21/10/2016,Maple Bear,Maple Bear Cantareira Ensino Bilingue,NA,NA,Nao,Bauru,RA Bauru,"Abertura escola  de ensino fundamental bilingue, de origem canadense",8513-9 - Ensino fundamental,8513-9 - Ensino fundamental,Implantacao,2016 - 2017
2016,4,30/12/2016,Companhia Paulista de Forca e Luz - CPFL,Companhia Paulista de Forca e Luz,13.1,3.91,Sim,Diversos municipios-RABauru,RA Bauru,Ampliacao sistema eletrico manutencao e atendimento de necessidades de clientes,3514-0 - Distribuicao de energia eletrica,3514-0 - Distribuicao de energia eletrica,Ampliacao,2016 - 2016
2016,4,22/10/2016,Associacao dos Voluntarios Muzambinhenses no Combate ao Cancer - AVMCC,Associacao de Voluntarios Muzambinhenses no Combate ao Cancer,NA,NA,Nao,Jau,RA Bauru,Inauguracao casa de apoio aos portadores de cancer,"8711-5 - Atividades de assistencia a idosos, deficientes fisicos, imunodeprimidos e convalescentes prestadas em residencias coletivas e particulares",8690-9 - Atividades de atencao a saude humana nao especificadas anteriormente,Implantacao,2014 - 2016
2016,4,23/11/2016,GasBrasiliano,GasBrasiliano Distribuidora,NA,NA,Nao,Lencois Paulista,RA Bauru,Ampliacao rede de distribuicao de gas natural em direcao ao Centro,3520-4 - Producao de gas; processamento de gas natural; distribuicao de combustiveis gasosos por redes urbanas,3520-4 - Producao de gas; processamento de gas natural; distribuicao de combustiveis gasosos por redes urbanas,Ampliacao,2016 - 2017
2016,4,16/11/2016,Lojas Cem,Lojas Cem,NA,NA,Nao,Promissao,RA Bauru,"Inauguracao loja  de moveis, eletrodomesticos, informatica, celulares e utilidades domesticas",4753-9 - Comercio varejista especializado de eletrodomesticos e equipamentos de audio e video,4753-9 - Comercio varejista especializado de eletrodomesticos e equipamentos de audio e video,Implantacao,2016 - 2016
2016,4,10/12/2016,Sao Vicente Supermercados,Supermercados Cavicchiolli,NA,NA,Nao,Americana,RA Campinas,"Instalacao software sistema de informatica para autoatendimento e self checkout, no supermercado","4711-3 - Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - hipermercados e supermercados","4711-3 - Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - hipermercados e supermercados",Ampliacao/Modernizacao,2016 - 2016
2016,4,08/12/2016,Drogal,Drogal Farmaceutica,NA,NA,Nao,Americana,RA Campinas,Abertura drogaria  com venda de medicamentos e perfumaria,4771-7 - Comercio varejista de produtos farmaceuticos para uso humano e veterinario,4771-7 - Comercio varejista de produtos farmaceuticos para uso humano e veterinario,Implantacao,2016 - 2016
2016,4,08/11/2016,Sao Lucas Saude,Sao Lucas Saude,NA,NA,Nao,Americana,RA Campinas,Inauguracao unidade de oncologia e compra de equipamentos do hospital,8610-1 - Atividades de atendimento hospitalar,6550-2 - Planos de saude,Ampliacao/Modernizacao,2016 - 2016
2016,4,03/10/2016,Taua Hotel Atibaia,Taua Hotel e Convention Atibaia,21,6.59,Sim,Atibaia,RA Campinas,Inauguracao salao de eventos no hotel,5510-8 - Hoteis e similares,5510-8 - Hoteis e similares,Ampliacao,2016 - 2016
2016,4,03/10/2016,Taua Hotel Atibaia,Taua Hotel e Convention Atibaia,15,4.71,Sim,Atibaia,RA Campinas,Ampliacao hotel com novos quartos e area de lazer,5510-8 - Hoteis e similares,5510-8 - Hoteis e similares,Ampliacao,2015 - 2017
2016,4,23/12/2016,Rei do Mate,Rei do Mate Cabreuva,0.38,0.11,Sim,Cabreuva,RA Campinas,Inauguracao lanchonete franqueada especializada em chas,5611-2 - Restaurantes e outros estabelecimentos de servicos de alimentacao e bebidas,4729-6 - Comercio varejista de produtos alimenticios em geral ou especializado em produtos alimenticios nao especificados anteriormente; produtos do fumo,Implantacao,2016 - 2016
2016,4,05/12/2016,BYD,BYD do Brasil,50,14.92,Sim,Campinas,RA Campinas,Implantacao fabrica de onibus eletricos,2920-4 - Fabricacao de caminhoes e onibus,2920-4 - Fabricacao de caminhoes e onibus,Implantacao,2014 - 2017
2016,4,13/12/2016,Sonda Supermercados,Sonda Supermercados Exportacao e Importacao,NA,NA,Nao,Campinas,RA Campinas,Abertura supermercado  no Shopping Parque das Bandeiras,"4711-3 - Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - hipermercados e supermercados","4711-3 - Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - hipermercados e supermercados",Implantacao,2016 - 2016
2016,4,13/12/2016,Marcia Mello,Guilherme Coutinho de Melo Serrano,NA,NA,Nao,Campinas,RA Campinas,Inauguracao loja de roupas femininas,4781-4 - Comercio varejista de artigos do vestuario e acessorios,4781-4 - Comercio varejista de artigos do vestuario e acessorios,Implantacao,2016 - 2016
2016,4,19/10/2016,Mesa III,Mesa III Rotisserie,NA,NA,Nao,Campinas,RA Campinas,Inauguracao lanchonete especializada em lanches e pratos rapidos,5611-2 - Restaurantes e outros estabelecimentos de servicos de alimentacao e bebidas,4637-1 - Comercio atacadista especializado em produtos alimenticios nao especificados anteriormente,Implantacao,2016 - 2016
2016,4,23/10/2016,Moncloa Tea Boutique,Tea Moments Comercio de Chas e Utensilios,0.5,0.16,Sim,Campinas,RA Campinas,"Abertura casa de cha, no Shopping Iguatemi Campinas",5611-2 - Restaurantes e outros estabelecimentos de servicos de alimentacao e bebidas,5611-2 - Restaurantes e outros estabelecimentos de servicos de alimentacao e bebidas,Implantacao,2016 - 2016
2016,4,23/10/2016,Ben & Jerry's,Unilever Brasil Gelados,NA,NA,Nao,Campinas,RA Campinas,Abertura sorveteria  franqueada no Shopping Iguatemi Campinas,5611-2 - Restaurantes e outros estabelecimentos de servicos de alimentacao e bebidas,1053-8 - Fabricacao de sorvetes e outros gelados comestiveis,Implantacao,2016 - 2016
2016,4,23/10/2016,Coco Bambu,CB Campinas Comercio de Alimentos,NA,NA,Nao,Campinas,RA Campinas,"Abertura restaurante especializado em frutos do mar, no Shopping Iguatemi Campinas",5611-2 - Restaurantes e outros estabelecimentos de servicos de alimentacao e bebidas,5611-2 - Restaurantes e outros estabelecimentos de servicos de alimentacao e bebidas,Implantacao,2016 - 2016
2016,4,27/10/2016,Madero Steak House,Madero Industria e Comercio,4.5,1.41,Sim,Campinas,RA Campinas,"Inauguracao restaurante especializado em hamburguer, no Shopping Parque Dom Pedro",5611-2 - Restaurantes e outros estabelecimentos de servicos de alimentacao e bebidas,8211-3 - Servicos combinados de escritorio e apoio administrativo,Implantacao,2016 - 2017
2016,4,23/10/2016,Azul Viagens,Azul Linhas Aereas Brasileiras,NA,NA,Nao,Campinas,RA Campinas,"Abertura agencia de viagens, no Shopping Iguatemi Campinas",7911-2 - Agencias de viagens,5111-1 - Transporte aereo de passageiros regular,Implantacao,2016 - 2016
2016,4,18/10/2016,Hospital Beneficencia Portuguesa de Campinas,Real Sociedade Portuguesa de Beneficencia,1,0.31,Sim,Campinas,RA Campinas,Ampliacao hospital com 30 leitos intensivos e revitalizacao do centro cirurgico,8610-1 - Atividades de atendimento hospitalar,8610-1 - Atividades de atendimento hospitalar,Ampliacao/Modernizacao,2014 - 2017
2016,4,18/10/2016,Hospital e Maternidade Celso Pierro,Sociedade Campineira de Educacao e Instrucao,1.07,0.34,Sim,Campinas,RA Campinas,Compra mamografo modelo Mammomat Inspiration,8610-1 - Atividades de atendimento hospitalar,8532-5 - Educacao superior - graduacao e pos-graduacao,Ampliacao/Modernizacao,2013 - 2016
2016,4,18/10/2016,Hospital Santa Tereza,Clinica Pierro,NA,NA,Nao,Campinas,RA Campinas,Ampliacao hospital com a construcao de novo bloco,8610-1 - Atividades de atendimento hospitalar,8610-1 - Atividades de atendimento hospitalar,Ampliacao/Modernizacao,2016 - 2018
2016,4,05/12/2016,CPIC,CPIC Brasil Fibras de Vidro,100.56,30,Sim,Capivari,RA Campinas,"Ampliacao fabrica de fibras de vidro para os segmentos automotivo, aereo, naval e de energias renovaveis",2319-2 - Fabricacao de artigos de vidro,2319-2 - Fabricacao de artigos de vidro,Ampliacao,2016 - 2017
2016,4,19/10/2016,Simetria Restaurante,Hoteis Royal Palm Plaza,NA,NA,Nao,Indaiatuba,RA Campinas,Inauguracao restaurante  no The Royal Tower Indaiatuba,5611-2 - Restaurantes e outros estabelecimentos de servicos de alimentacao e bebidas,5510-8 - Hoteis e similares,Implantacao,2014 - 2016
2016,4,18/11/2016,Atacadao,Atacadao,NA,NA,Nao,Jundiai,RA Campinas,Abertura hipermercado de atacado e varejo de mercadorias em geral,"4691-5 - Comercio atacadista de mercadorias em geral, com predominancia de produtos alimenticios","4711-3 - Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - hipermercados e supermercados",Implantacao,2016 - 2016
2016,4,20/12/2016,Lojas Cem,Lojas Cem,NA,NA,Nao,Jundiai,RA Campinas,"Inauguracao loja de moveis, eletrodomesticos, informatica, celulares e utilidades domesticas",4753-9 - Comercio varejista especializado de eletrodomesticos e equipamentos de audio e video,4753-9 - Comercio varejista especializado de eletrodomesticos e equipamentos de audio e video,Implantacao,2013 - 2016
2016,4,20/12/2016,Lojas Cem,Lojas Cem,NA,NA,Nao,Jundiai,RA Campinas,"Inauguracao loja de moveis, eletrodomesticos, informatica, celulares e utilidades domesticas",4753-9 - Comercio varejista especializado de eletrodomesticos e equipamentos de audio e video,4753-9 - Comercio varejista especializado de eletrodomesticos e equipamentos de audio e video,Implantacao,2016 - 2016
2016,4,26/10/2016,Precolandia,Precolandia Comercial,NA,NA,Nao,Jundiai,RA Campinas,Inauguracao loja de utilidades domesticas no Maxi Shopping Jundiai,4759-8 - Comercio varejista de artigos de uso domestico nao especificados anteriormente,4759-8 - Comercio varejista de artigos de uso domestico nao especificados anteriormente,Implantacao,2016 - 2016
2016,4,26/10/2016,L'Occitane,L'Occitane do Brasil,NA,NA,Nao,Jundiai,RA Campinas,Inauguracao loja de cosmeticos no Maxi Shopping Jundiai,"4772-5 - Comercio varejista de cosmeticos, produtos de perfumaria e de higiene pessoal","4646-0 - Comercio atacadista de cosmeticos, produtos de perfumaria e de higiene pessoal",Implantacao,2016 - 2016
2016,4,26/10/2016,Liquido,Wardy Confeccoes,NA,NA,Nao,Jundiai,RA Campinas,Inauguracao loja de moda praia no Maxi Shopping Jundiai,4781-4 - Comercio varejista de artigos do vestuario e acessorios,1411-8 - Confeccao de roupas intimas,Implantacao,2016 - 2016
2016,4,26/10/2016,Rei do Mate,Rei do Mate Jundiai,0.38,0.12,Sim,Jundiai,RA Campinas,Inauguracao lanchonete especializada em chas no Maxi Shopping Jundiai,5611-2 - Restaurantes e outros estabelecimentos de servicos de alimentacao e bebidas,4729-6 - Comercio varejista de produtos alimenticios em geral ou especializado em produtos alimenticios nao especificados anteriormente; produtos do fumo,Implantacao,2016 - 2016
2016,4,12/11/2016,Madero Steak House,Madero Industria e Comercio,4.5,1.35,Sim,Jundiai,RA Campinas,Abertura restaurante especializado em carnes e hamburguer no Jundiai Shopping,5611-2 - Restaurantes e outros estabelecimentos de servicos de alimentacao e bebidas,8211-3 - Servicos combinados de escritorio e apoio administrativo,Implantacao,2016 - 2016
2016,4,10/10/2016,Memorial Parque da Paz,Memorial Parque da Paz,NA,NA,Nao,Jundiai,RA Campinas,Inauguracao cemiterio humanizado e moderno,9603-3 - Atividades funerarias e servicos relacionados,9603-3 - Atividades funerarias e servicos relacionados,Implantacao,2015 - 2016
2016,4,13/10/2016,Supermercado Pague Menos,Pague Menos Comercio de Produtos Alimenticios,25,7.85,Sim,Limeira,RA Campinas,Instalacao supermercado e um mall composto por 12 lojas,6822-6 - Gestao e administracao da propriedade imobiliaria,"4711-3 - Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - hipermercados e supermercados",Implantacao,2016 - 2017
2016,4,05/10/2016,Qualy,Qualy Comercio e Industria de Alimentos para Animais,25,7.85,Sim,Lindoia,RA Campinas,Inauguracao fabrica de racoes para aquicultura e para animais de companhia,1066-0 - Fabricacao de alimentos para animais,1066-0 - Fabricacao de alimentos para animais,Implantacao,2016 - 2016
2016,4,20/12/2016,Moveis Casa Verde,Mercantil de Moveis Casa Verde,NA,NA,Nao,Mogi Guacu,RA Campinas,Reinauguracao loja de moveis planejados tipo outlet,"4754-7 - Comercio varejista especializado de moveis, colchoaria e artigos de iluminacao","4754-7 - Comercio varejista especializado de moveis, colchoaria e artigos de iluminacao",Ampliacao,2016 - 2016
2016,4,04/10/2016,Syngenta,Syngenta Protecao de Cultivos,136.98,43,Sim,Paulinia,RA Campinas,Ampliacao fabrica de fungicidas para soja com tecnologia Pepite,2051-7 - Fabricacao de defensivos agricolas,2051-7 - Fabricacao de defensivos agricolas,Ampliacao,2016 - 2016
2016,4,06/12/2016,Jau Serve Supermercados,Supermercados Jau Serve,NA,NA,Nao,Piracicaba,RA Campinas,Inauguracao supermercado na rua Dom Joao Bosco,"4711-3 - Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - hipermercados e supermercados","4711-3 - Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - hipermercados e supermercados",Implantacao,2016 - 2016
2016,4,08/12/2016,Drogal,Drogal Farmaceutica,NA,NA,Nao,Piracicaba,RA Campinas,Abertura drogaria  com venda de medicamentos e perfumaria,4771-7 - Comercio varejista de produtos farmaceuticos para uso humano e veterinario,4771-7 - Comercio varejista de produtos farmaceuticos para uso humano e veterinario,Implantacao,2016 - 2016
2016,4,26/10/2016,Oxitec,Oxitec do Brasil Tecnologia de Insetos,30,9.42,Sim,Piracicaba,RA Campinas,"Inauguracao fabrica  para produzir mosquitos geneticamente modificados, o Aedes do Bem.",7210-0 - Pesquisa e desenvolvimento experimental em ciencias fisicas e naturais,7210-0 - Pesquisa e desenvolvimento experimental em ciencias fisicas e naturais,Implantacao,2016 - 2016
2016,4,09/11/2016,Santa Casa de Piracicaba,Irmandade da Santa Casa de Misericordia de Piracicaba,NA,NA,Nao,Piracicaba,RA Campinas,Inauguracao unidade de radioterapia do hospital,8610-1 - Atividades de atendimento hospitalar,8610-1 - Atividades de atendimento hospitalar,Ampliacao,2016 - 2016
2016,4,22/10/2016,Assaggio,"Assagio Prestinaria, Padaria e Confeitaria",NA,NA,Nao,Rio Claro,RA Campinas,Inauguracao padaria cafe e bistro no Shopping Rio Claro,"4721-1 - Comercio varejista de produtos de padaria, laticinio, doces, balas e semelhantes","4721-1 - Comercio varejista de produtos de padaria, laticinio, doces, balas e semelhantes",Implantacao,2016 - 2016
2016,4,15/10/2016,Torra Torra,Magazine Torra Torra,NA,NA,Nao,Rio Claro,RA Campinas,Inauguracao loja de departamentos,4781-4 - Comercio varejista de artigos do vestuario e acessorios,"4713-0 - Comercio varejista de mercadorias em geral, sem predominancia de produtos alimenticios",Implantacao,2016 - 2016
